,count,mean,std,min,25%,50%,75%,max
2726,57268.0,29.816434043283582,9.620522183557046,-0.8156600000000002,23.1231925,29.432729999999992,35.67902,64.05481
2728,57268.0,29.878842429999995,9.634380444798158,-0.7967800000000003,23.1765225,29.497769999999992,35.75231,64.14513
2730,57268.0,29.944474585522393,9.648072472434674,-0.7752499999999999,23.232517500000007,29.56755,35.827945,64.23693999999999
2732,57268.0,30.00520453985074,9.660968516238848,-0.7536000000000007,23.285999999999998,29.632934999999996,35.89905,64.32342999999999
2734,57268.0,30.06464477238806,9.673894109276638,-0.7308199999999997,23.337395000000004,29.695305,35.96867249999999,64.41081
2736,57268.0,30.113168668358202,9.684636130724016,-0.7122199999999997,23.37899749999999,29.746689999999997,36.02380000000001,64.484
2738,57268.0,30.20174131746269,9.702881860123062,-0.6738500000000001,23.4577575,29.839619999999996,36.12331749999999,64.60953000000002
2740,57268.0,30.265554491194028,9.715045851277107,-0.64699,23.51488749999999,29.906119999999998,36.19609500000001,64.69487
2742,57268.0,30.3275692141791,9.726935825101995,-0.61977,23.569197500000012,29.970289999999988,36.26617499999998,64.77941000000001
2744,57268.0,30.385449045522385,9.738497242051634,-0.5934200000000005,23.618372499999996,30.029619999999994,36.33115000000001,64.86345000000003
2746,57268.0,30.439735663731334,9.749585231559472,-0.5673199999999999,23.6635675,30.085775,36.3930925,64.94388999999998
2748,57268.0,30.498580101194033,9.76084016006066,-0.5390799999999998,23.7135575,30.144374999999986,36.46223749999999,65.02706
2750,57268.0,30.56658803059702,9.772530442371771,-0.5070500000000002,23.776375,30.214150000000004,36.539492499999994,65.11751000000001
2752,57268.0,30.639273192985073,9.784384531758008,-0.47323999999999955,23.841322499999997,30.287635000000005,36.62001000000001,65.21155
2754,57268.0,30.70992708179105,9.796200669509762,-0.4395100000000005,23.90421500000001,30.360054999999996,36.69704500000001,65.30510000000001
2756,57268.0,30.77735311373134,9.807783710160313,-0.4065399999999999,23.963712499999996,30.428695000000005,36.772015,65.39693
2758,57268.0,30.845263995223885,9.819391711634385,-0.37308000000000047,24.021652500000002,30.498725000000004,36.84735749999999,65.48863
2760,57268.0,30.914533212686564,9.831005762386248,-0.33856000000000014,24.0806825,30.570580000000007,36.924730000000004,65.58074999999998
